Unnamed: 0_level_0,Unnamed: 1_level_0,Player,Round 1,Round 1,Unnamed: 5_level_0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,Draft_Year
54,54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-.041,-4.7,-0.4,2016
55,55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,.286,.250,1.000,5.6,2.4,0.8,0.6,0.0,-.006,-8.8,0.0,2016
56,56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1,2016
57,57,MEM,Wang Zhelin,,,,,,,,,,,,,,,,,,,2016
58,58,BOS,Abdel Nader,Iowa State,5,202,2583,926,376,110,.428,.357,.718,12.8,4.6,1.9,0.5,2.8,.052,-2.6,-0.4,2016
59,59,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,,,,,,,,,,2016
60,60,UTA,Tyrone Wallace,California,4,112,1714,566,236,127,.422,.207,.656,15.3,5.1,2.1,1.1,0.1,.003,-5.2,-1.4,2016
1,1,PHI,Markelle Fultz,Washington,8,255,6123,2656,817,1111,.470,.280,.732,24.0,10.4,3.2,4.4,8.4,.066,-1.2,1.2,2017
2,2,LAL,Lonzo Ball,UCLA,6,287,8964,3262,1565,1678,.398,.362,.599,31.2,11.4,5.5,5.8,12.6,.068,1.0,6.7,2017
3,3,BOS,Jayson Tatum,Duke,8,585,20185,13784,4293,2243,.459,.370,.840,34.5,23.6,7.3,3.8,65.4,.156,3.8,29.4,2017
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-.012,-3.8,-3.1,2017
