Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
146,MIL,Kim Anderson,Missouri,1.0,21.0,224.0,63.0,45.0,15.0,0.312,,0.536,10.7,3.0,2.1,0.7,-0.4,-0.078,-7.5,-0.4,1978
147,LAL,Larry Paige,Colorado State,,,,,,,,,,,,,,,,,,1978
148,DEN,Jack Gilloon,South Carolina,,,,,,,,,,,,,,,,,,1978
149,PHO,Steve Malovic,San Diego State,1.0,39.0,445.0,80.0,86.0,26.0,0.463,,0.667,11.4,2.1,2.2,0.7,0.3,0.027,-3.4,-0.2,1978
150,SAS,Hector Olivencia,Sacred Heart University,,,,,,,,,,,,,,,,,,1978
151,PHI,Anthony Murray,Alabama,,,,,,,,,,,,,,,,,,1978
152,POR,Walter Reason,Pacific University,,,,,,,,,,,,,,,,,,1978
153,NJN,Bruce Campbell,Providence,,,,,,,,,,,,,,,,,,1978
154,SDC,Felton Young,Jacksonville University,,,,,,,,,,,,,,,,,,1978
155,KCK,Ron Hammye,Bowling Green,,,,,,,,,,,,,,,,,,1978
156,BOS,Kim Fisher,Fairfield,,,,,,,,,,,,,,,,,,1978
157,DET,Earl Evans,UNLV,1.0,36.0,381.0,157.0,75.0,37.0,0.45,0.389,0.571,10.6,4.4,2.1,1.0,0.1,0.015,-4.0,-0.2,1978
158,NOJ,Carl Kilpatrick,Louisiana-Monroe,1.0,2.0,6.0,3.0,4.0,0.0,0.5,,0.5,3.0,1.5,2.0,0.0,0.0,0.225,-4.5,0.0,1978
159,CHI,Chubby Cox,San Francisco,1.0,7.0,78.0,29.0,10.0,6.0,0.351,0.0,0.5,11.1,4.1,1.4,0.9,-0.2,-0.127,-6.6,-0.2,1978
160,ATL,Ed Murphy,Merrimack College,,,,,,,,,,,,,,,,,,1978
161,CLE,Roland Martin,Missouri Southern State,,,,,,,,,,,,,,,,,,1978
162,NYK,Greg Sanders,St. Bonaventure,,,,,,,,,,,,,,,,,,1978
163,GSW,Tony Searcy,Appalachian State University,,,,,,,,,,,,,,,,,,1978
